,Title,Artist,Top Genre,Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity,Genre
12981,假使世界原來不像你預期,Charmaine Fong,cantopop,0.427,0.517,-8.322,0.163,0.34,271800,0.682,0.0307,42,Pop
12982,艦隊,Edmond Leung,cantopop,0.536,0.494,-6.408,0.354,0.369,218314,0.704,0.0457,18,Pop
12983,悶,Faye Wong,cantopop,0.675,0.661,-9.212,0.256,0.554,252333,0.0944,0.0297,40,Pop
12985,純真傳說,Aaron Kwok,cantopop,0.855,0.699,-4.672,0.281,0.605,248133,0.0192,0.0615,18,Pop
12987,"一起衝一起闖 (電影""黃金兄弟""主題曲)",Ekin Cheng;Jordan Chan;謝天華;錢嘉樂;林曉峰,cantopop,0.666,0.68,-9.454,0.0866,0.959,191893,0.269,0.0325,18,Pop
12989,海鷗,翁倩玉,cantopop,0.164,0.222,-13.737,0.119,0.128,156506,0.56,0.0305,21,Pop
12990,心血,Andy Hui,cantopop,0.418,0.501,-11.53,0.0959,0.232,283946,0.616,0.0282,18,Pop
12991,你喜歡說謊 - 電視劇《黃金有罪》片尾曲,HANA,cantopop,0.37,0.592,-9.794,0.113,0.362,294053,0.728,0.0334,18,Pop
12992,"Can You Read My Mind (Love Theme From ""Superman"")",陳美玲,cantopop,0.277,0.373,-12.782,0.0599,0.228,234226,0.655,0.0282,19,Pop
12993,誰可改變 - 電視劇《天師執位》主題曲,Alan Tam,cantopop,0.314,0.307,-13.354,0.354,0.153,233666,0.722,0.0289,18,Pop
12994,眼淚的堅強 (ViuTV原創劇《熟女強人》主題曲),Vivian Chow,cantopop,0.459,0.405,-9.123,0.257,0.371,229641,0.74,0.0734,18,Pop
12996,聽風 in D major,Terence Lam,cantopop,0.129,0.305,-16.701,0.0858,0.394,196912,0.916,0.0319,45,Pop
12997,捨不得你,Sammi Cheng,cantopop,0.559,0.408,-6.007,0.32,0.249,267120,0.513,0.0376,18,Pop
12998,"默默向上游 - 電影""鼓手""主題曲",Leslie Cheung,cantopop,0.234,0.574,-14.306,0.292,0.229,203800,0.618,0.0266,18,Pop
12999,伴侶,Christopher Wong,cantopop,0.359,0.497,-14.729,0.0876,0.266,272826,0.755,0.0366,18,Pop
14000,Baby Shark,Pinkfong,children,0.886,0.829,-1.746,0.0559,0.777,80927,0.259,0.112,77,Children's/Disney
14001,Wheels on the Bus,CoComelon,children,0.387,0.941,-11.92,0.157,0.965,207340,0.184,0.0427,72,Children's/Disney
14002,Johny Johny Yes Papa,LooLoo Kids,children,0.764,0.597,-6.034,0.249,0.786,94451,0.0551,0.0318,46,Children's/Disney
14003,Baby Shark,CoComelon,children,0.587,0.779,-8.131,0.0792,0.908,127203,0.33,0.0721,64,Children's/Disney
14004,Twinkle Twinkle Little Star,Super Simple Songs,children,0.227,0.696,-11.763,0.0794,0.284,152691,0.866,0.042,69,Children's/Disney
14005,Baa Baa Black Sheep,CoComelon,children,0.396,0.711,-11.266,0.119,0.969,147780,0.829,0.0486,68,Children's/Disney
14006,Old MacDonald,CoComelon,children,0.479,0.704,-12.362,0.0419,0.936,147147,0.292,0.0348,64,Children's/Disney
14007,Five Little Monkeys Jumping on the Bed,CoComelon,children,0.2,0.959,-12.65,0.0842,0.717,169302,0.8,0.155,64,Children's/Disney
14008,Happy Birthday Song,CoComelon,children,0.387,0.866,-11.011,0.145,0.79,62228,0.403,0.0345,62,Children's/Disney
14010,Head Shoulder Knees and Toes,CoComelon,children,0.351,0.516,-11.012,0.116,0.796,127026,0.709,0.044,64,Children's/Disney
14012,Twinkle Twinkle Little Star,CoComelon,children,0.206,0.459,-9.694,0.294,0.354,177477,0.673,0.0282,67,Children's/Disney
14013,Itsy Bitsy Spider,CoComelon,children,0.289,0.919,-12.244,0.075,0.866,129761,0.586,0.048,67,Children's/Disney
14014,Hickory Dickory Dock,CoComelon,children,0.377,0.851,-11.197,0.0437,0.734,144844,0.817,0.085,56,Children's/Disney
14015,Yes Yes Vegetables Song,CoComelon,children,0.174,0.932,-12.107,0.064,0.935,226626,0.585,0.06,59,Children's/Disney
14016,Rock-a-Bye Baby,CoComelon,children,0.217,0.715,-10.499,0.102,0.509,130496,0.822,0.0319,66,Children's/Disney
14017,The Wheels on the Bus,The Little Sunshine Kids,children,0.413,0.931,-11.014,0.112,0.961,87453,0.212,0.0485,66,Children's/Disney
14018,Shake It Off,Kidz Bop Kids,children,0.915,0.672,-2.467,0.101,0.93,208026,0.03,0.176,0,Children's/Disney
14019,She'll Be Coming Round the Mountain,CoComelon,children,0.525,0.757,-9.651,0.11,0.97,134117,0.519,0.0428,63,Children's/Disney
14020,Ghostbusters,Kidz Bop Kids,children,0.914,0.661,-5.207,0.0802,0.788,200757,0.000176,0.0327,1,Children's/Disney
14021,Baby Shark (arr. piano) - Lullaby,Pinkfong;Music Lab Collective,children,0.0224,0.481,-31.026,0.322,0.273,162610,0.989,0.0635,0,Children's/Disney
14022,Levitating,Kidz Bop Kids,children,0.798,0.706,-4.733,0.106,0.812,186466,0.00416,0.0374,1,Children's/Disney
14023,Thriller,Kidz Bop Kids,children,0.972,0.675,-5.397,0.657,0.756,229020,0.014,0.0898,0,Children's/Disney
14025,Monster Mash,Kidz Bop Kids,children,0.808,0.641,-3.304,0.317,0.727,199266,0.085,0.141,1,Children's/Disney
14026,Purple People Eater,Kidz Bop Kids,children,0.859,0.555,-3.718,0.203,0.802,151106,0.0448,0.091,0,Children's/Disney
14027,Enemy,Kidz Bop Kids,children,0.694,0.596,-5.05,0.0908,0.52,148009,0.0389,0.0713,0,Children's/Disney
14028,Good 4 U,Kidz Bop Kids,children,0.704,0.553,-4.866,0.0939,0.809,166453,0.00756,0.125,0,Children's/Disney
14029,I Want Candy,Kidz Bop Kids,children,0.958,0.733,-3.698,0.401,0.818,179172,0.00146,0.0546,0,Children's/Disney
14030,Last Christmas,Kidz Bop Kids,children,0.812,0.727,-4.952,0.0514,0.777,214989,0.0958,0.0281,0,Children's/Disney
14031,Thunder,Kidz Bop Kids,children,0.83,0.684,-3.908,0.258,0.82,147560,0.0132,0.0465,0,Children's/Disney
14032,Little Shop Of Horrors,Kidz Bop Kids,children,0.816,0.616,-6.376,0.409,0.873,165336,0.0452,0.0717,0,Children's/Disney
14033,Todo de Ti,Kidz Bop Kids,children,0.64,0.803,-4.832,0.0925,0.735,151226,0.00701,0.0317,0,Children's/Disney
14034,24K Magic,Kidz Bop Kids,children,0.745,0.849,-5.975,0.388,0.674,177226,0.0414,0.087,0,Children's/Disney
14035,The 12 Days Of Christmas,Kidz Bop Kids,children,0.923,0.634,-4.478,0.0607,0.883,232122,0.0118,0.0517,0,Children's/Disney
14036,Blinding Lights,Kidz Bop Kids,children,0.775,0.606,-5.667,0.125,0.867,180666,0.008,0.0531,0,Children's/Disney
14039,"Scooby Doo, Where Are You?",Kidz Bop Kids,children,0.971,0.536,-5.194,0.539,0.944,112786,0.00632,0.095,0,Children's/Disney
14040,Party Rock Anthem,Kidz Bop Kids,children,0.742,0.686,-5.077,0.207,0.447,204933,0.00154,0.0768,0,Children's/Disney
14041,Santa Claus Is Coming To Town,Kidz Bop Kids,children,0.933,0.543,-3.94,0.0407,0.657,145760,0.00178,0.108,0,Children's/Disney
14042,Tacones Rojos,Kidz Bop Kids,children,0.748,0.7,-5.53,0.234,0.929,188034,0.00265,0.0293,0,Children's/Disney
14044,All I Want For Christmas Is You,Kidz Bop Kids,children,0.906,0.464,-1.985,0.293,0.305,195521,0.00286,0.0378,0,Children's/Disney
14046,Rudolph The Red-Nosed Reindeer,Kidz Bop Kids,children,0.935,0.65,-4.407,0.319,0.72,155049,0.0107,0.0446,0,Children's/Disney
14048,Ding Dong The Witch Is Dead,Kidz Bop Kids,children,0.95,0.586,-4.373,0.204,0.817,162852,0.012,0.0563,0,Children's/Disney
14050,I Swear,The Minions,children,0.417,0.572,-8.807,0.13,0.129,98211,0.393,0.0277,63,Children's/Disney
14051,Bath Song,CoComelon,children,0.306,0.837,-11.615,0.0656,0.963,154087,0.387,0.0719,57,Children's/Disney
14052,Finger Family,CoComelon,children,0.565,0.816,-11.555,0.0768,0.965,136002,0.352,0.036,61,Children's/Disney
14053,BINGO,LooLoo Kids,children,0.849,0.85,-5.803,0.0693,0.94,118627,0.332,0.0289,53,Children's/Disney
14054,Humpty Dumpty,CoComelon,children,0.453,0.881,-10.504,0.0881,0.974,128127,0.55,0.0675,47,Children's/Disney
14055,Peek a Boo,CoComelon,children,0.277,0.864,-11.172,0.0896,0.905,108208,0.556,0.125,60,Children's/Disney
14056,ABC's Song,Mellodees,children,0.957,0.682,-1.588,0.338,0.565,94925,0.408,0.0552,60,Children's/Disney
14060,"One Potato, Two Potatoes",CoComelon,children,0.327,0.906,-12.624,0.115,0.966,118218,0.492,0.0608,45,Children's/Disney
14061,"Row, Row, Row Your Boat",CoComelon,children,0.223,0.523,-11.437,0.069,0.738,135234,0.618,0.0393,48,Children's/Disney
14062,First Day of School,CoComelon,children,0.243,0.975,-11.689,0.151,0.817,159125,0.806,0.0695,57,Children's/Disney
14063,London Bridge Is Falling Down,CoComelon,children,0.507,0.748,-11.522,0.0636,0.942,125158,0.545,0.0501,46,Children's/Disney
14065,I'm A Little Teapot,Smart Books,children,0.737,0.964,-5.866,0.0703,0.473,66561,0.394,0.0485,58,Children's/Disney
14066,Rockabye Baby,The Kiboomers,children,0.293,0.678,-12.756,0.107,0.152,128306,0.913,0.0284,50,Children's/Disney
14067,Five Little Monkeys,The Hit Crew Kids,children,0.412,0.935,-7.292,0.0807,0.91,98560,0.752,0.0501,41,Children's/Disney
14068,Rain Rain Go Away,CoComelon,children,0.312,0.687,-11.89,0.1,0.849,135001,0.642,0.0336,60,Children's/Disney
14070,"One, Two, Buckle My Shoe",Mother Goose Club,children,0.573,0.912,-11.185,0.0715,0.964,33333,0.0152,0.0936,52,Children's/Disney
14071,Bingo,CoComelon,children,0.343,0.732,-13.208,0.096,0.981,141841,0.713,0.0711,57,Children's/Disney
14072,Itsy Bitsy Spider,Itsy Bitsy Spider Kids,children,0.322,0.952,-11.807,0.173,0.983,48381,0.38,0.0462,59,Children's/Disney
14073,The Muffin Man - 2012 Version,The Kiboomers,children,0.561,0.81,-8.145,0.382,0.794,122906,0.891,0.0614,50,Children's/Disney
14074,"Lullaby & Goodnight (Brahm's Lullaby, Op. 49)",The Countdown Kids;Auntie Sally,children,0.102,0.492,-16.676,0.202,0.292,174440,0.969,0.0294,32,Children's/Disney
14075,Mary Had a Little Lamb,CoComelon,children,0.48,0.614,-10.024,0.334,0.633,160212,0.0167,0.0267,60,Children's/Disney
14076,The Boo Boo Song,CoComelon,children,0.14,0.783,-11.918,0.0504,0.603,211077,0.815,0.0336,55,Children's/Disney
14077,The Finger Family (Daddy Finger),Muffin Songs,children,0.575,0.873,-9.233,0.319,0.862,63570,0.175,0.0637,61,Children's/Disney
14078,Polly Put the Kettle On,CoComelon,children,0.294,0.973,-13.072,0.163,0.973,98000,0.184,0.0742,61,Children's/Disney
14079,Incy Wincy Spider,The Little Sunshine Kids,children,0.268,0.77,-14.077,0.196,0.886,60760,0.174,0.0465,60,Children's/Disney
14080,It's Raining It's Pouring,CoComelon,children,0.666,0.756,-10.257,0.0788,0.964,79200,0.787,0.0339,60,Children's/Disney
14081,The Alphabet Song,Cedarmont Kids,children,0.0867,0.674,-14.887,0.367,0.592,69000,0.702,0.0305,47,Children's/Disney
14082,I Am the Music Man,CoComelon,children,0.447,0.884,-12.783,0.1,0.979,104205,0.753,0.0736,61,Children's/Disney
14083,5 Little Monkeys,The Little Sunshine Kids,children,0.253,0.908,-10.474,0.115,0.962,87771,0.441,0.0587,65,Children's/Disney
14084,"Head, Shoulders, Knees and Toes",The Wiggles,children,0.83,0.77,-5.472,0.0308,0.98,118751,0.0562,0.0326,60,Children's/Disney
14085,Five Little Ducks,Super Simple Songs,children,0.34,0.956,-10.195,0.0596,0.593,152224,0.0614,0.0487,63,Children's/Disney
14086,Three Little Pigs,CoComelon,children,0.319,0.93,-12.852,0.0907,0.732,189789,0.552,0.0422,59,Children's/Disney
14087,Peppa's Lullaby,Peppa Pig,children,0.149,0.354,-13.591,0.356,0.329,166477,0.919,0.0446,60,Children's/Disney
14088,Head Shoulders Knees & Toes Kids Exercise Song,ChuChu TV,children,0.587,0.935,-8.791,0.0612,0.574,116363,0.0178,0.125,47,Children's/Disney
14089,El Chorrito,Cri-Cri,children,0.231,0.586,-11.856,0.233,0.493,174866,0.754,0.0709,46,Children's/Disney
14090,"Twinkle, Twinkle, Little Star",Raffi,children,0.0392,0.728,-22.703,0.167,0.484,71160,0.964,0.0354,57,Children's/Disney
14091,Di Porque,Cri-Cri,children,0.247,0.289,-10.517,0.0968,0.278,182586,0.967,0.0302,44,Children's/Disney
14092,Marcha de las Letras - Remasterizado,Cri-Cri,children,0.418,0.482,-6.873,0.108,0.686,188826,0.847,0.042,49,Children's/Disney
14093,This Is Halloween,The Countdown Kids,children,0.644,0.644,-5.057,0.136,0.463,194193,0.634,0.11,0,Children's/Disney
14094,"Theme from ""The Addams Family""",The Countdown Kids,children,0.673,0.717,-4.645,0.0214,0.963,84000,0.801,0.251,0,Children's/Disney
14095,Negrito Bailarín - Remasterizado,Cri-Cri,children,0.301,0.784,-12.321,0.119,0.532,165813,0.47,0.184,44,Children's/Disney
14096,Der kleine Zinnsoldat,Rolf Zuckowski,children,0.475,0.761,-9.954,0.275,0.828,179533,0.297,0.0304,0,Children's/Disney
14100,If You're Happy and You Know It,CoComelon,children,0.477,0.93,-10.455,0.143,0.967,168000,0.657,0.0898,56,Children's/Disney
14101,Ants Go Marching,CoComelon,children,0.474,0.943,-7.321,0.227,0.854,233454,0.554,0.0578,49,Children's/Disney
14102,Skidamarink,CoComelon,children,0.378,0.591,-9.356,0.11,0.669,161458,0.482,0.0603,56,Children's/Disney
14104,Abcd Alphabet Song,ChuChu TV,children,0.818,0.694,-3.959,0.32,0.791,89429,0.0838,0.123,39,Children's/Disney
14105,The Hokey Pokey,Mother Goose Club,children,0.374,0.862,-7.295,0.106,0.924,144138,0.296,0.0621,54,Children's/Disney
14106,This Is the Way,CoComelon,children,0.269,0.934,-11.631,0.0727,0.965,135401,0.731,0.0712,49,Children's/Disney
14107,Johny Johny Yes Papa,CoComelon,children,0.194,0.932,-15.76,0.0919,0.942,110031,0.552,0.047,44,Children's/Disney
14108,Pat a Cake,CoComelon,children,0.587,0.925,-10.933,0.0377,0.987,125558,0.583,0.0501,45,Children's/Disney
14109,Looby Loo,CoComelon,children,0.383,0.669,-11.7,0.0719,0.909,149983,0.0426,0.0553,56,Children's/Disney
14110,Hot Cross Buns,CoComelon,children,0.502,0.976,-6.71,0.0754,0.982,151090,0.743,0.0504,45,Children's/Disney
14112,Ring Around the Rosy,CoComelon,children,0.319,0.93,-8.117,0.0955,0.467,128000,0.802,0.0553,44,Children's/Disney
14114,Bingo (Was His Name-O),CoComelon,children,0.591,0.716,-7.309,0.0672,0.984,166000,0.219,0.0514,45,Children's/Disney
14115,Baby Shark Music Box,Pinkfong,children,0.121,0.686,-20.751,0.0793,0.818,110522,0.688,0.103,52,Children's/Disney
14116,Abc Song with Balloons,CoComelon,children,0.331,0.454,-12.221,0.117,0.327,189055,0.509,0.0373,58,Children's/Disney
14117,Abc Song for Children,ChuChu TV,children,0.34,0.701,-12.478,0.0816,0.204,151515,0.609,0.0323,43,Children's/Disney
14118,Baa Baa Black Sheep,Radha;Bob Smith,children,0.281,0.851,-10.855,0.782,0.601,74066,0.81,0.0625,57,Children's/Disney
14119,The Soccer Song (Football Song),CoComelon,children,0.411,0.979,-12.78,0.0729,0.879,170770,0.102,0.0794,49,Children's/Disney
14120,Open Shut Them,CoComelon,children,0.248,0.917,-11.572,0.106,0.834,91000,0.644,0.0404,51,Children's/Disney
14121,"Rain, Rain Go Away",Belle and the Nursery Rhymes Band,children,0.385,0.82,-9.019,0.113,0.654,48750,0.63,0.0307,55,Children's/Disney
14122,Five Little Speckled Frogs,CoComelon,children,0.367,0.939,-11.022,0.0754,0.985,169765,0.682,0.0609,56,Children's/Disney
14123,Something Just Like This,One Voice Children's Choir,children,0.612,0.773,-5.887,0.117,0.91,128893,0.67,0.0344,50,Children's/Disney
14124,Dosai Amma Dosai Food Song,ChuChu TV,children,0.628,0.765,-12.005,0.244,0.874,125399,0.178,0.155,31,Children's/Disney
14125,"Head, Shoulders, Knees and Toes",Toddler Tunes,children,0.729,0.867,-6.616,0.0802,0.793,83291,0.249,0.0373,61,Children's/Disney
14126,"Home - From ""Alvin And The Chipmunks: The Road Chip"" Soundtrack",Alvin & The Chipmunks;The Chipettes,children,0.902,0.568,-4.544,0.0882,0.464,184106,0.0989,0.174,55,Children's/Disney
14127,Johny Johny Yes Papa Nursery Rhyme,ChuChu TV,children,0.521,0.821,-13.509,0.0875,0.83,79393,0.0343,0.0505,46,Children's/Disney
14128,Theo (Der Bananenbrot-Song),Rolf Zuckowski,children,0.672,0.71,-7.239,0.305,0.742,171240,0.817,0.12,41,Children's/Disney
14129,Itsy Bitsy Spider Nursery Rhyme,ChuChu TV,children,0.433,0.967,-9.319,0.107,0.637,105454,0.142,0.0374,47,Children's/Disney
14130,El Baile de los Muñecos,Cri-Cri,children,0.269,0.695,-9.011,0.387,0.515,168760,0.757,0.0416,43,Children's/Disney
14131,Oh Santa!,VeggieTales,children,0.481,0.772,-10.185,0.101,0.719,314893,0.701,0.47,0,Children's/Disney
14132,Als ich ein Baby war,Rolf Zuckowski,children,0.734,0.809,-10.002,0.14,0.897,248706,0.273,0.0568,41,Children's/Disney
14133,Let’s Go!,The Laurie Berkner Band,children,0.833,0.742,-3.238,0.0373,0.955,73946,0.53,0.272,0,Children's/Disney
14134,Feliz Navidad,VeggieTales,children,0.506,0.707,-9.218,0.0491,0.924,185493,0.48,0.175,0,Children's/Disney
14135,Donuts For Benny,VeggieTales,children,0.505,0.393,-7.749,0.193,0.699,182546,0.703,0.147,0,Children's/Disney
14138,Drachen im Wind,Rolf Zuckowski,children,0.844,0.48,-6.504,0.113,0.762,207453,0.319,0.0444,43,Children's/Disney
14139,Candy Cane Jane,The Laurie Berkner Band,children,0.329,0.707,-8.141,0.0672,0.709,188773,0.414,0.0277,0,Children's/Disney
14140,Goodnight,The Laurie Berkner Band,children,0.201,0.622,-12.171,0.112,0.337,200373,0.823,0.0345,0,Children's/Disney
14141,I Picked One Pumpkin,The Laurie Berkner Band,children,0.378,0.728,-11.667,0.116,0.802,130916,0.861,0.496,0,Children's/Disney
14142,Monster Boogie,The Laurie Berkner Band,children,0.379,0.751,-3.406,0.0464,0.801,81035,0.698,0.123,0,Children's/Disney
14143,Clean It Up,The Laurie Berkner Band,children,0.234,0.863,-14.165,0.0693,0.813,83360,0.897,0.158,0,Children's/Disney
14145,The Goldfish,The Laurie Berkner Band,children,0.529,0.549,-4.09,0.122,0.693,214960,0.714,0.142,0,Children's/Disney
14146,Down Down Baby,The Laurie Berkner Band,children,0.496,0.712,-11.418,0.0739,0.656,61240,0.828,0.879,0,Children's/Disney
14147,Bumblebee (Buzz Buzz),The Laurie Berkner Band,children,0.29,0.835,-12.853,0.0978,0.718,177920,0.588,0.0425,0,Children's/Disney
14148,We Are The Dinosaurs,The Laurie Berkner Band,children,0.251,0.694,-9.094,0.0718,0.782,137066,0.688,0.0563,0,Children's/Disney
14151,A Ram Sam Sam,LooLoo Kids,children,0.824,0.666,-2.138,0.0993,0.888,158286,0.194,0.0784,40,Children's/Disney
14153,Rock-A-Bye Baby,The Countdown Kids,children,0.245,0.581,-7.622,0.115,0.368,90693,0.65,0.0305,28,Children's/Disney
14155,PJ Masks Theme Song,PJ Masks,children,0.85,0.72,-3.939,0.113,0.405,40000,0.0827,0.0936,61,Children's/Disney
14157,Apples and Bananas,The Wiggles,children,0.699,0.73,-4.759,0.337,0.94,100382,0.583,0.0374,48,Children's/Disney
14158,Open Shut Them,Super Simple Songs,children,0.19,0.776,-12.174,0.172,0.372,144511,0.528,0.0449,62,Children's/Disney
14160,Are We There Yet?,CoComelon,children,0.259,0.864,-12.584,0.0935,0.829,148081,0.192,0.0428,54,Children's/Disney
14161,Y.M.C.A.,The Minions,children,0.91,0.706,-5.851,0.0566,0.894,175291,0.00277,0.0447,60,Children's/Disney
14163,Nap Time Song,CoComelon,children,0.207,0.683,-7.054,0.157,0.538,178393,0.89,0.0281,54,Children's/Disney
14165,The Teacher Song,CoComelon,children,0.358,0.837,-12.886,0.146,0.825,181948,0.187,0.031,48,Children's/Disney
14166,Alphabet - Classic Abc Song,Amy Samu,children,0.169,0.964,-20.19,0.0783,0.798,43676,0.776,0.17,48,Children's/Disney
14167,"Pussy Cat, Pussy Cat",LooLoo Kids,children,0.519,0.84,-5.536,0.179,0.663,91080,0.108,0.0425,44,Children's/Disney
14168,Skidamarink,Smart Books,children,0.479,0.86,-6.505,0.0803,0.84,93101,0.464,0.0357,54,Children's/Disney
14169,This Is the Way,Muffin Man,children,0.623,0.864,-9.346,0.0546,0.86,68663,0.048,0.0418,52,Children's/Disney
14171,Rock a Bye Baby,The Kiboomers,children,0.0668,0.435,-25.339,0.11,0.077,103500,0.924,0.044,56,Children's/Disney
14173,Upar Pankha Chalta Hai,WowKidz,children,0.395,0.808,-6.708,0.142,0.832,51246,0.747,0.156,28,Children's/Disney
14174,Baby Bumble Bee,Dennis Scott,children,0.643,0.838,-4.631,0.136,0.899,60533,0.342,0.128,58,Children's/Disney
14175,Baby Shark,Super Simple Songs,children,0.395,0.747,-11.447,0.047,0.702,173627,0.222,0.0453,61,Children's/Disney
14177,Mom Finger,Dreweeris Band,children,0.799,0.833,-6.83,0.117,0.892,62971,0.105,0.0281,37,Children's/Disney
14178,One Little Finger,Super Simple Songs;Noodle & Pals,children,0.213,0.94,-10.181,0.0893,0.832,133189,0.418,0.0855,62,Children's/Disney
14179,CoComelon Theme Tune,CoComelon,children,0.304,0.606,-11.546,0.117,0.744,36666,0.739,0.22,50,Children's/Disney
14181,Nila Nila Odi Vaa Baby Sleep Song,ChuChu TV,children,0.411,0.765,-13.645,0.186,0.704,103557,0.679,0.0905,29,Children's/Disney
14182,ABC's,Blippi;Nicky Notes,children,0.386,0.82,-13.189,0.107,0.969,75028,0.234,0.0511,62,Children's/Disney
14183,Are You Sleeping? (Brother John),CoComelon,children,0.301,0.842,-8.11,0.0492,0.891,130909,0.855,0.0485,53,Children's/Disney
14184,If You're Happy and You Know It,The Wiggles,children,0.516,0.737,-5.829,0.424,0.961,92853,0.565,0.357,61,Children's/Disney
14185,Baby Shark 1.5x,Pinkfong,children,0.924,0.733,-1.579,0.35,0.5,72247,0.168,0.244,59,Children's/Disney
14187,Negrito Sandía - Remasterizado,Cri-Cri,children,0.467,0.667,-7.61,0.136,0.934,196906,0.794,0.0451,42,Children's/Disney
14188,O Christmas Tree,VeggieTales,children,0.325,0.844,-9.443,0.0629,0.401,182093,0.825,0.0484,0,Children's/Disney
14189,Ask The StoryBots Theme,StoryBots,children,0.69,0.805,-7.347,0.216,0.868,60098,0.458,0.0722,0,Children's/Disney
14191,Come on Down to Wiggle Town,The Wiggles,children,0.664,0.74,-5.626,0.13,0.772,120426,0.0376,0.0758,40,Children's/Disney
14192,Orquesta De Animales,Cri-Cri,children,0.379,0.607,-10.36,0.0526,0.96,153440,0.651,0.0553,42,Children's/Disney
14193,We Got The Beat,VeggieTales,children,0.962,0.728,-3.019,0.114,0.645,155786,0.0115,0.203,0,Children's/Disney
14194,Dance With The Elephant,StoryBots,children,0.788,0.665,-5.848,0.43,0.932,63801,0.219,0.274,0,Children's/Disney
14195,Los Caballitos - Remasterizado,Cri-Cri,children,0.329,0.632,-10.864,0.248,0.723,152693,0.706,0.0957,40,Children's/Disney
14196,Bunt sind schon die Wälder,Rolf Zuckowski,children,0.281,0.327,-10.041,0.165,0.407,139160,0.925,0.0274,39,Children's/Disney
14197,Te laat,Kinderen voor Kinderen,children,0.724,0.552,-3.983,0.0574,0.856,167920,0.000113,0.0783,38,Children's/Disney
14198,Oma liebt Opapa,Rolf Zuckowski,children,0.482,0.808,-11.514,0.286,0.687,176933,0.58,0.0519,40,Children's/Disney
14199,If I Fell,Sweet Little Band,children,0.327,0.456,-11.721,0.154,0.176,194597,0.28,0.0295,41,Children's/Disney
14200,12345 Once I Caught A Fish Alive!,CoComelon,children,0.457,0.795,-7.74,0.0763,0.926,194666,0.616,0.04,52,Children's/Disney
14201,"Infant Holy, Infant Lowly",The Countdown Kids,children,0.139,0.59,-15.804,0.135,0.796,72186,0.926,0.0314,26,Children's/Disney
14202,Hush Little Baby,The Countdown Kids,children,0.183,0.739,-8.195,0.0969,0.424,98173,0.752,0.0302,28,Children's/Disney
14203,Papa Mama Loca Pipa,The Minions,children,0.922,0.753,-5.154,0.142,0.87,89480,0.755,0.0771,54,Children's/Disney
14204,Rub a Dub Dub,The Kiboomers,children,0.54,0.714,-8.435,0.661,0.966,78285,0.685,0.508,45,Children's/Disney
14206,ABC Boo,Super Simple Songs,children,0.459,0.661,-10.113,0.353,0.481,192395,0.16,0.0868,1,Children's/Disney
14207,Incy Wincy Spider Nursery Rhyme,ChuChu TV,children,0.684,0.906,-5.667,0.158,0.93,105940,0.0514,0.0503,39,Children's/Disney
14209,Jack Be Nimble,CoComelon,children,0.351,0.87,-10.767,0.0674,0.968,110593,0.466,0.106,42,Children's/Disney
14210,The Laughing Song,CoComelon,children,0.433,0.966,-11.423,0.116,0.952,126493,0.789,0.0688,53,Children's/Disney
14211,The Ant and the Grasshopper,CoComelon,children,0.456,0.754,-8.718,0.181,0.943,156545,0.585,0.0284,53,Children's/Disney
14212,Old MacDonald Had a Farm,The Countdown Kids,children,0.562,0.922,-6.851,0.122,0.749,126573,0.762,0.0397,26,Children's/Disney
14213,Skidamarink,Super Simple Songs,children,0.114,0.694,-14.401,0.0948,0.445,136411,0.508,0.141,48,Children's/Disney
14215,ABC Boo - Sing-Along,Super Simple Songs,children,0.388,0.763,-14.338,0.292,0.767,191997,0.181,0.0296,0,Children's/Disney
14216,The Wheels on the Bus Go Round and Round,The Countdown Kids,children,0.492,0.942,-8.153,0.0778,0.971,87160,0.584,0.0453,26,Children's/Disney
14217,Twinkle Twinkle Little Star (Lullaby),Listener Kids,children,0.0675,0.602,-12.174,0.113,0.137,194205,0.983,0.0645,39,Children's/Disney
14218,Monster Party,Super Simple Songs,children,0.978,0.767,-4.027,0.287,0.961,140892,0.0299,0.0538,40,Children's/Disney
14219,7 Days of the Week,The Learning Station,children,0.689,0.826,-6.038,0.157,0.955,93806,0.665,0.0329,55,Children's/Disney
14220,The Muffin Man,Muffin Man,children,0.688,0.79,-7.836,0.168,0.899,77780,0.258,0.0332,50,Children's/Disney
14221,Titli Udi Bus Mein Chadi,WowKidz,children,0.463,0.93,-6.302,0.107,0.761,40704,0.88,0.319,27,Children's/Disney
14222,The ABC Song,Martin and Rose Music,children,0.624,0.78,-3.734,0.21,0.882,72625,0.0645,0.0611,53,Children's/Disney
14223,Jiggle Your Scarf,Judi Cranston,children,0.63,0.775,-8.117,0.107,0.815,85400,0.393,0.0486,55,Children's/Disney
14224,Mary Had a Little Lamb,Toddler Tunes,children,0.439,0.859,-7.152,0.103,0.961,159000,0.261,0.0351,48,Children's/Disney
14225,The Excavator Song,Blippi,children,0.549,0.737,-13.215,0.315,0.841,173190,0.525,0.0382,60,Children's/Disney
14226,Baa Baa Black Sheep Nursery Rhyme,ChuChu TV,children,0.539,0.936,-11.615,0.0852,0.923,135757,0.222,0.128,34,Children's/Disney
14227,Old McDonald Had a Farm,The Little Sunshine Kids,children,0.169,0.813,-15.192,0.457,0.598,169874,0.17,0.0534,57,Children's/Disney
